,CH1,CH3
Second,Volt,Volt
-1.26000e-02,-1.90e+00,-4.67e-01, 
-1.24000e-02,-1.88e+00,-4.67e-01, 
-1.22000e-02,-1.90e+00,-4.26e-01, 
-1.20000e-02,-1.88e+00,-4.43e-01, 
-1.18000e-02,-1.93e+00,-4.67e-01, 
-1.16000e-02,-1.88e+00,-4.67e-01, 
-1.14000e-02,-1.90e+00,-4.51e-01, 
-1.12000e-02,-1.90e+00,-4.43e-01, 
-1.10000e-02,-1.88e+00,-4.76e-01, 
-1.08000e-02,-1.90e+00,-4.59e-01, 
-1.06000e-02,-1.85e+00,-4.92e-01, 
-1.04000e-02,-1.88e+00,-4.67e-01, 
-1.02000e-02,-1.93e+00,-5.00e-01, 
-1.00000e-02,-1.85e+00,-4.76e-01, 
-9.80000e-03,-1.90e+00,-5.00e-01, 
-9.60000e-03,-1.88e+00,-4.76e-01, 
-9.40000e-03,-1.93e+00,-5.08e-01, 
-9.20000e-03,-1.88e+00,-5.00e-01, 
-9.00000e-03,-1.90e+00,-4.76e-01, 
-8.80000e-03,-1.85e+00,-4.76e-01, 
-8.60000e-03,-1.90e+00,-5.17e-01, 
-8.40000e-03,-1.85e+00,-4.76e-01, 
-8.20000e-03,-1.90e+00,-5.00e-01, 
-8.00000e-03,-1.85e+00,-5.08e-01, 
-7.80000e-03,-1.90e+00,-4.59e-01, 
-7.60000e-03,-1.85e+00,-4.76e-01, 
-7.40000e-03,-1.90e+00,-5.00e-01, 
-7.20000e-03,-1.88e+00,-4.76e-01, 
-7.00000e-03,-1.90e+00,-5.00e-01, 
-6.80000e-03,-1.88e+00,-4.51e-01, 
-6.60000e-03,-1.90e+00,-5.00e-01, 
-6.40000e-03,-1.88e+00,-4.43e-01, 
-6.20000e-03,-1.90e+00,-5.00e-01, 
-6.00000e-03,-1.88e+00,-4.76e-01, 
-5.80000e-03,-1.90e+00,-5.25e-01, 
-5.60000e-03,-1.88e+00,-5.00e-01, 
-5.40000e-03,-1.90e+00,-4.84e-01, 
-5.20000e-03,-1.88e+00,-4.67e-01, 
-5.00000e-03,-1.90e+00,-5.08e-01, 
-4.80000e-03,-1.90e+00,-4.67e-01, 
-4.60000e-03,-1.85e+00,-4.92e-01, 
-4.40000e-03,-1.90e+00,-4.67e-01, 
-4.20000e-03,-1.88e+00,-5.00e-01, 
-4.00000e-03,-1.90e+00,-4.84e-01, 
-3.80000e-03,-1.88e+00,-5.33e-01, 
-3.60000e-03,-1.88e+00,-4.84e-01, 
-3.40000e-03,-1.90e+00,-5.25e-01, 
-3.20000e-03,-1.88e+00,-4.84e-01, 
-3.00000e-03,-1.90e+00,-5.17e-01, 
-2.80000e-03,-1.88e+00,-5.17e-01, 
-2.60000e-03,-1.93e+00,-4.92e-01, 
-2.40000e-03,-1.93e+00,-4.84e-01, 
-2.20000e-03,-1.88e+00,-5.25e-01, 
-2.00000e-03,-1.90e+00,-5.00e-01, 
-1.80000e-03,-1.88e+00,-5.33e-01, 
-1.60000e-03,-1.88e+00,-5.25e-01, 
-1.40000e-03,-1.90e+00,-4.84e-01, 
-1.20000e-03,-1.88e+00,-5.08e-01, 
-1.00000e-03,-1.90e+00,-4.76e-01, 
-8.00000e-04,-1.90e+00,-5.00e-01, 
-6.00000e-04,-1.85e+00,-4.51e-01, 
-4.00000e-04,-1.90e+00,-4.76e-01, 
-2.00000e-04,2.26e+00,-5.08e-01, 
0.00000e+00,2.23e+00,-4.76e-01, 
2.00000e-04,2.26e+00,-5.00e-01, 
4.00000e-04,2.26e+00,-4.84e-01, 
6.00000e-04,2.23e+00,-5.25e-01, 
8.00000e-04,2.26e+00,-4.76e-01, 
1.00000e-03,2.20e+00,-5.33e-01, 
1.20000e-03,2.23e+00,-5.00e-01, 
1.40000e-03,2.26e+00,-4.76e-01, 
1.60000e-03,2.23e+00,-5.17e-01, 
1.80000e-03,2.20e+00,-4.84e-01, 
2.00000e-03,2.23e+00,-5.00e-01, 
2.20000e-03,2.20e+00,-5.33e-01, 
2.40000e-03,2.23e+00,-5.33e-01, 
2.60000e-03,2.23e+00,-5.00e-01, 
2.80000e-03,2.23e+00,-5.00e-01, 
3.00000e-03,2.23e+00,-4.43e-01, 
3.20000e-03,2.23e+00,-4.43e-01, 
3.40000e-03,2.20e+00,-4.76e-01, 
3.60000e-03,2.23e+00,-4.76e-01, 
3.80000e-03,2.20e+00,-3.85e-01, 
4.00000e-03,2.23e+00,-4.02e-01, 
4.20000e-03,2.18e+00,-3.77e-01, 
4.40000e-03,2.23e+00,-3.94e-01, 
4.60000e-03,2.20e+00,-2.71e-01, 
4.80000e-03,2.18e+00,-2.54e-01, 
5.00000e-03,2.23e+00,-1.23e-01, 
5.20000e-03,2.23e+00,-1.39e-01, 
5.40000e-03,2.18e+00,-9.84e-02, 
5.60000e-03,2.23e+00,-1.15e-01, 
5.80000e-03,2.18e+00,2.46e-02, 
6.00000e-03,2.20e+00,0.00e+00, 
6.20000e-03,2.23e+00,4.10e-02, 
6.40000e-03,2.23e+00,1.64e-02, 
6.60000e-03,2.18e+00,4.10e-02, 
6.80000e-03,2.20e+00,5.74e-02, 
7.00000e-03,2.23e+00,1.64e-02, 
7.20000e-03,2.20e+00,2.46e-02, 
7.40000e-03,2.23e+00,5.74e-02, 
7.60000e-03,2.23e+00,5.74e-02, 
7.80000e-03,2.20e+00,1.89e-01, 
8.00000e-03,2.23e+00,1.80e-01, 
8.20000e-03,2.18e+00,2.13e-01, 
8.40000e-03,2.20e+00,1.89e-01, 
8.60000e-03,2.23e+00,2.62e-01, 
8.80000e-03,2.23e+00,2.54e-01, 
9.00000e-03,2.20e+00,2.87e-01, 
9.20000e-03,2.20e+00,2.62e-01, 
9.40000e-03,2.23e+00,2.95e-01, 
9.60000e-03,2.23e+00,2.95e-01, 
9.80000e-03,2.20e+00,3.36e-01, 
1.00000e-02,2.23e+00,3.20e-01, 
1.02000e-02,2.18e+00,3.44e-01, 
1.04000e-02,2.23e+00,3.44e-01, 
1.06000e-02,2.20e+00,3.28e-01, 
1.08000e-02,2.23e+00,3.53e-01, 
1.10000e-02,2.20e+00,4.02e-01, 
1.12000e-02,2.20e+00,3.61e-01, 
1.14000e-02,2.23e+00,3.94e-01, 
1.16000e-02,2.20e+00,3.61e-01, 
1.18000e-02,2.23e+00,4.10e-01, 
1.20000e-02,2.23e+00,4.10e-01, 
1.22000e-02,2.20e+00,3.94e-01, 
1.24000e-02,2.23e+00,3.77e-01, 
1.26000e-02,2.20e+00,4.35e-01, 
1.28000e-02,2.23e+00,4.18e-01, 
1.30000e-02,2.18e+00,4.67e-01, 
1.32000e-02,2.23e+00,4.35e-01, 
1.34000e-02,2.18e+00,4.59e-01, 
1.36000e-02,2.23e+00,4.59e-01, 
1.38000e-02,2.20e+00,4.92e-01, 
