,CH1,CH3
Second,Volt,Volt
4.92000e-02,-1.90e+00,-4.43e-01, 
4.94000e-02,-1.88e+00,-4.18e-01, 
4.96000e-02,-1.88e+00,-4.18e-01, 
4.98000e-02,-1.93e+00,-4.51e-01, 
5.00000e-02,-1.90e+00,-4.35e-01, 
5.02000e-02,-1.88e+00,-4.67e-01, 
5.04000e-02,-1.90e+00,-4.67e-01, 
5.06000e-02,-1.88e+00,-4.35e-01, 
5.08000e-02,-1.85e+00,-4.67e-01, 
5.10000e-02,-1.90e+00,-4.35e-01, 
5.12000e-02,-1.88e+00,-4.43e-01, 
5.14000e-02,-1.93e+00,-4.76e-01, 
5.16000e-02,-1.88e+00,-4.76e-01, 
5.18000e-02,-1.85e+00,-4.18e-01, 
5.20000e-02,-1.85e+00,-4.43e-01, 
5.22000e-02,-1.93e+00,-3.94e-01, 
5.24000e-02,-1.88e+00,-3.94e-01, 
5.26000e-02,-1.90e+00,-4.18e-01, 
5.28000e-02,-1.90e+00,-4.02e-01, 
5.30000e-02,-1.88e+00,-4.51e-01, 
5.32000e-02,-1.90e+00,-4.35e-01, 
5.34000e-02,-1.88e+00,-4.59e-01, 
5.36000e-02,-1.88e+00,-4.43e-01, 
5.38000e-02,-1.90e+00,-4.76e-01, 
5.40000e-02,-1.88e+00,-4.84e-01, 
5.42000e-02,-1.90e+00,-4.26e-01, 
5.44000e-02,-1.88e+00,-4.43e-01, 
5.46000e-02,-1.90e+00,-4.76e-01, 
5.48000e-02,-1.93e+00,-4.43e-01, 
5.50000e-02,-1.88e+00,-4.67e-01, 
5.52000e-02,-1.88e+00,-4.76e-01, 
5.54000e-02,-1.90e+00,-4.18e-01, 
5.56000e-02,-1.90e+00,-4.43e-01, 
5.58000e-02,-1.85e+00,-4.76e-01, 
5.60000e-02,-1.90e+00,-4.43e-01, 
5.62000e-02,-1.85e+00,-4.76e-01, 
5.64000e-02,-1.88e+00,-4.35e-01, 
5.66000e-02,-1.90e+00,-4.67e-01, 
5.68000e-02,-1.85e+00,-4.35e-01, 
5.70000e-02,-1.90e+00,-4.76e-01, 
5.72000e-02,-1.88e+00,-4.35e-01, 
5.74000e-02,-1.90e+00,-4.67e-01, 
5.76000e-02,-1.88e+00,-4.35e-01, 
5.78000e-02,-1.90e+00,-4.76e-01, 
5.80000e-02,-1.90e+00,-4.76e-01, 
5.82000e-02,-1.85e+00,-4.59e-01, 
5.84000e-02,-1.88e+00,-5.00e-01, 
5.86000e-02,-1.90e+00,-4.59e-01, 
5.88000e-02,-1.85e+00,-4.43e-01, 
5.90000e-02,-1.90e+00,-4.92e-01, 
5.92000e-02,-1.88e+00,-4.84e-01, 
5.94000e-02,-1.90e+00,-4.43e-01, 
5.96000e-02,-1.88e+00,-4.51e-01, 
5.98000e-02,-1.90e+00,-4.92e-01, 
