200	1.00990099	0
300	1.02970297	4
400	1.06	4
500	1.089108911	7
600	1.128712871	8
700	1.188118812	5
800	1.257425743	5
900	1.346534653	10
930	1.376237624	10
950	1.386138614	10
970	1.415841584	11
990	1.445544554	14
1000	1.45049505	14
1050	1.534653465	15
1070	1.554455446	15
1100	1.633663366	15
1120	1.663366337	16
1140	1.71	16
1160	1.76	16
1180	1.8	16
1190	1.821782178	17
1200	1.841584158	17
1210	1.881188119	19
1220	1.920792079	20
1230	1.96039604	21
1240	1.98019802	21
1250	2	21
1260	2.03960396	21
1270	2.079207921	24
1280	2.118811881	25
1290	2.128712871	24
1300	2.178217822	25
1320	2.277227723	26
1340	2.336633663	27
1360	2.392156863	31
1365	2.455445545	30
1370	2.52	31
1372	2.52	31
1374	2.524752475	31
1376	2.56	31
1378	2.56	31
1380	2.58	31
1400	2.68	32
1450	2.95049505	40
1500	3.3	47
1520	3.445544554	52
1540	3.564356436	53
1560	3.643564356	67
1580	3.762376238	67
1600	3.88	69
1620	3.881188119	74
1630	3.881188119	78
1640	3.881188119	80
1660	3.861386139	85
1680	3.841584158	91
1700	3.76	99
1720	3.643564356	106
1740	3.524752475	105
1780	3.287128713	116
1800	3.128712871	115
1900	2.534653465	135
2000	2.01980198	145
2200	1.36	157
2400	0.97029703	161
2600	0.732673267	167
2800	0.594059406	168
3000	0.475247525	164
3200	0.396039604	166
3400	0.344554455	167
3600	0.297029703	166
3800	0.261386139	169
4000	0.237623762	168
