50	1.98	2
60	1.98	2
80	1.98	2
100	1.98	2
130	1.98	2
160	1.98	2
220	1.98	2
270	1.98	2
350	1.98	1.98
450	1.98	1.96
560	1.98	1.92
720	1.98	1.78
920	2	1.56
1000	1.98	1.42
1100	1.98	1.32
1500	2	0.86
1900	1.98	0.58
2500	2	0.38
3000	2	0.3
4000	2	0.2
5000	2	0.114
