,CH1,CH2,CH4
Second,Volt,Volt,Volt
-2.04000e-01,5.68e+00,3.36e+00,-4.00e-02, 
-2.03000e-01,5.60e+00,3.44e+00,-8.00e-02, 
-2.02000e-01,5.68e+00,3.44e+00,-8.00e-02, 
-2.01000e-01,5.60e+00,3.52e+00,-4.00e-02, 
-2.00000e-01,5.68e+00,3.36e+00,-4.00e-02, 
-1.99000e-01,5.60e+00,3.52e+00,-8.00e-02, 
-1.98000e-01,5.68e+00,3.52e+00,-4.00e-02, 
-1.97000e-01,5.60e+00,3.60e+00,-8.00e-02, 
-1.96000e-01,5.68e+00,3.52e+00,-4.00e-02, 
-1.95000e-01,5.68e+00,3.44e+00,-8.00e-02, 
-1.94000e-01,5.68e+00,3.52e+00,-4.00e-02, 
-1.93000e-01,5.60e+00,3.68e+00,-8.00e-02, 
-1.92000e-01,5.60e+00,3.60e+00,-8.00e-02, 
-1.91000e-01,5.68e+00,3.36e+00,-4.00e-02, 
-1.90000e-01,5.68e+00,3.28e+00,-8.00e-02, 
-1.89000e-01,5.60e+00,3.52e+00,-4.00e-02, 
-1.88000e-01,5.68e+00,3.52e+00,-4.00e-02, 
-1.87000e-01,5.60e+00,3.76e+00,-8.00e-02, 
-1.86000e-01,5.68e+00,3.92e+00,-4.00e-02, 
-1.85000e-01,5.60e+00,3.60e+00,-8.00e-02, 
-1.84000e-01,5.68e+00,3.60e+00,-4.00e-02, 
-1.83000e-01,5.60e+00,3.44e+00,-8.00e-02, 
-1.82000e-01,5.68e+00,3.68e+00,-4.00e-02, 
-1.81000e-01,5.60e+00,3.60e+00,-8.00e-02, 
-1.80000e-01,5.68e+00,3.52e+00,-4.00e-02, 
-1.79000e-01,-5.76e+00,3.68e+00,-8.00e-02, 
-1.78000e-01,-5.76e+00,3.68e+00,-8.00e-02, 
-1.77000e-01,-5.68e+00,1.84e+00,-4.00e-02, 
-1.76000e-01,-5.68e+00,1.92e+00,-4.00e-02, 
-1.75000e-01,-5.60e+00,2.56e+00,-8.00e-02, 
-1.74000e-01,-5.68e+00,2.16e+00,-4.00e-02, 
-1.73000e-01,-5.60e+00,1.36e+00,-8.00e-02, 
-1.72000e-01,-5.68e+00,1.36e+00,-4.00e-02, 
-1.71000e-01,-5.60e+00,5.60e-01,-8.00e-02, 
-1.70000e-01,-5.68e+00,5.60e-01,-8.00e-02, 
-1.69000e-01,-5.60e+00,-3.20e-01,-4.00e-02, 
-1.68000e-01,-5.68e+00,-2.40e-01,-4.00e-02, 
-1.67000e-01,-5.60e+00,-1.12e+00,-8.00e-02, 
-1.66000e-01,-5.68e+00,-1.12e+00,-8.00e-02, 
-1.65000e-01,-5.60e+00,-1.68e+00,-4.00e-02, 
-1.64000e-01,-5.68e+00,-1.68e+00,-4.00e-02, 
-1.63000e-01,-5.60e+00,-2.08e+00,-8.00e-02, 
-1.62000e-01,-5.68e+00,-2.08e+00,-4.00e-02, 
-1.61000e-01,-5.60e+00,-2.40e+00,-8.00e-02, 
-1.60000e-01,-5.68e+00,-2.32e+00,-4.00e-02, 
-1.59000e-01,-5.60e+00,-2.56e+00,-8.00e-02, 
-1.58000e-01,-5.68e+00,-2.56e+00,-4.00e-02, 
-1.57000e-01,-5.60e+00,-2.64e+00,-8.00e-02, 
-1.56000e-01,-5.68e+00,-2.48e+00,-8.00e-02, 
-1.55000e-01,-5.60e+00,-2.64e+00,-4.00e-02, 
-1.54000e-01,-5.68e+00,-2.64e+00,-8.00e-02, 
-1.53000e-01,-5.60e+00,-2.88e+00,-4.00e-02, 
-1.52000e-01,-5.68e+00,-2.80e+00,-4.00e-02, 
-1.51000e-01,-5.60e+00,-2.48e+00,-8.00e-02, 
