,CH1,CH2,CH4
Second,Volt,Volt,Volt
-1.10000e-01,-5.68e+00,-2.80e+00,-4.00e-02, 
-1.09000e-01,-5.60e+00,-3.52e+00,-8.00e-02, 
-1.08000e-01,-5.60e+00,-3.68e+00,-8.00e-02, 
-1.07000e-01,-5.68e+00,-3.36e+00,-4.00e-02, 
-1.06000e-01,-5.68e+00,-3.36e+00,-4.00e-02, 
-1.05000e-01,-5.60e+00,-3.12e+00,-8.00e-02, 
-1.04000e-01,-5.68e+00,-3.04e+00,-4.00e-02, 
-1.03000e-01,-5.60e+00,-3.20e+00,-8.00e-02, 
-1.02000e-01,-5.68e+00,-3.20e+00,-8.00e-02, 
-1.01000e-01,-5.60e+00,-3.44e+00,-4.00e-02, 
-1.00000e-01,-5.68e+00,-3.44e+00,-4.00e-02, 
-9.90000e-02,-5.60e+00,-3.28e+00,-8.00e-02, 
-9.80000e-02,-5.68e+00,-3.36e+00,-4.00e-02, 
-9.70000e-02,-5.60e+00,-3.20e+00,-8.00e-02, 
-9.60000e-02,-5.68e+00,-3.28e+00,-4.00e-02, 
-9.50000e-02,-5.60e+00,-3.44e+00,-8.00e-02, 
-9.40000e-02,-5.68e+00,-3.44e+00,-4.00e-02, 
-9.30000e-02,-5.60e+00,-3.20e+00,-8.00e-02, 
-9.20000e-02,-5.68e+00,-3.20e+00,-8.00e-02, 
-9.10000e-02,-5.52e+00,-3.60e+00,-4.00e-02, 
-9.00000e-02,-5.60e+00,-3.60e+00,-4.00e-02, 
-8.90000e-02,-5.76e+00,-3.44e+00,-8.00e-02, 
-8.80000e-02,-5.68e+00,-3.44e+00,-8.00e-02, 
-8.70000e-02,-5.60e+00,-3.36e+00,-4.00e-02, 
-8.60000e-02,-5.68e+00,-3.36e+00,-8.00e-02, 
-8.50000e-02,-5.60e+00,-3.52e+00,-4.00e-02, 
-8.40000e-02,-5.68e+00,-3.52e+00,-4.00e-02, 
-8.30000e-02,-5.60e+00,-3.44e+00,-8.00e-02, 
-8.20000e-02,-5.68e+00,-3.52e+00,-4.00e-02, 
-8.10000e-02,-5.60e+00,-3.36e+00,-8.00e-02, 
-8.00000e-02,-5.68e+00,-3.44e+00,-4.00e-02, 
-7.90000e-02,-5.60e+00,-3.60e+00,-8.00e-02, 
-7.80000e-02,-5.68e+00,-3.52e+00,-8.00e-02, 
-7.70000e-02,-5.60e+00,-3.68e+00,-4.00e-02, 
-7.60000e-02,-5.68e+00,-3.60e+00,-8.00e-02, 
-7.50000e-02,-5.60e+00,-3.20e+00,-4.00e-02, 
-7.40000e-02,-5.68e+00,-3.28e+00,-8.00e-02, 
-7.30000e-02,-5.60e+00,-4.00e+00,-4.00e-02, 
-7.20000e-02,-5.68e+00,-4.00e+00,-4.00e-02, 
-7.10000e-02,-5.60e+00,-3.44e+00,-8.00e-02, 
-7.00000e-02,-5.68e+00,-3.44e+00,-4.00e-02, 
-6.90000e-02,-5.60e+00,-3.44e+00,-8.00e-02, 
-6.80000e-02,-5.68e+00,-3.44e+00,-4.00e-02, 
-6.70000e-02,-5.60e+00,-3.76e+00,-8.00e-02, 
-6.60000e-02,-5.68e+00,-3.76e+00,-8.00e-02, 
-6.50000e-02,-5.60e+00,-3.60e+00,-4.00e-02, 
-6.40000e-02,-5.68e+00,-3.60e+00,-4.00e-02, 
-6.30000e-02,-5.60e+00,-3.52e+00,-8.00e-02, 
-6.20000e-02,-5.68e+00,-3.68e+00,-8.00e-02, 
-6.10000e-02,-5.60e+00,-3.76e+00,-4.00e-02, 
-6.00000e-02,-5.60e+00,-3.76e+00,-4.00e-02, 
-5.90000e-02,-5.68e+00,-3.52e+00,-8.00e-02, 
-5.80000e-02,-5.60e+00,-3.68e+00,-8.00e-02, 
-5.70000e-02,-5.68e+00,-3.92e+00,-4.00e-02, 
-5.60000e-02,-5.60e+00,-4.00e+00,-4.00e-02, 
-5.50000e-02,-5.68e+00,-3.76e+00,-8.00e-02, 
-5.40000e-02,-5.60e+00,-3.68e+00,-8.00e-02, 
-5.30000e-02,-5.68e+00,-3.60e+00,-4.00e-02, 
-5.20000e-02,-5.68e+00,-3.76e+00,-8.00e-02, 
-5.10000e-02,-5.60e+00,-3.76e+00,-4.00e-02, 
-5.00000e-02,-5.68e+00,-3.76e+00,-8.00e-02, 
-4.90000e-02,-5.60e+00,-3.68e+00,-4.00e-02, 
-4.80000e-02,-5.68e+00,-3.76e+00,-8.00e-02, 
-4.70000e-02,-5.60e+00,-3.84e+00,-4.00e-02, 
-4.60000e-02,-5.68e+00,-4.00e+00,-8.00e-02, 
-4.50000e-02,-5.60e+00,-3.68e+00,-4.00e-02, 
-4.40000e-02,-5.68e+00,-3.44e+00,-8.00e-02, 
-4.30000e-02,-5.60e+00,-3.92e+00,-4.00e-02, 
-4.20000e-02,-5.68e+00,-4.00e+00,-8.00e-02, 
-4.10000e-02,-5.60e+00,-4.24e+00,-4.00e-02, 
-4.00000e-02,-5.68e+00,-4.08e+00,-8.00e-02, 
-3.90000e-02,-5.60e+00,-3.76e+00,-4.00e-02, 
-3.80000e-02,-5.68e+00,-3.76e+00,-4.00e-02, 
-3.70000e-02,-5.60e+00,-3.84e+00,-8.00e-02, 
-3.60000e-02,-5.60e+00,-3.84e+00,-4.00e-02, 
-3.50000e-02,-5.68e+00,-4.00e+00,-8.00e-02, 
-3.40000e-02,-5.68e+00,-4.00e+00,-8.00e-02, 
-3.30000e-02,-5.60e+00,-3.84e+00,-4.00e-02, 
-3.20000e-02,-5.68e+00,-3.84e+00,-8.00e-02, 
-3.10000e-02,-5.60e+00,-4.08e+00,-4.00e-02, 
-3.00000e-02,-5.68e+00,-4.08e+00,-8.00e-02, 
-2.90000e-02,-5.60e+00,-3.76e+00,-4.00e-02, 
-2.80000e-02,-5.68e+00,-3.76e+00,-8.00e-02, 
-2.70000e-02,-5.60e+00,-4.16e+00,-4.00e-02, 
-2.60000e-02,-5.68e+00,-4.24e+00,-8.00e-02, 
-2.50000e-02,-5.60e+00,-4.00e+00,-4.00e-02, 
-2.40000e-02,-5.68e+00,-4.00e+00,-4.00e-02, 
-2.30000e-02,-5.60e+00,-3.84e+00,-8.00e-02, 
-2.20000e-02,-5.68e+00,-3.92e+00,-4.00e-02, 
-2.10000e-02,-5.60e+00,-4.08e+00,-8.00e-02, 
-2.00000e-02,-5.68e+00,-4.08e+00,-4.00e-02, 
-1.90000e-02,-5.60e+00,-3.92e+00,-8.00e-02, 
-1.80000e-02,-5.68e+00,-3.92e+00,-4.00e-02, 
-1.70000e-02,-5.60e+00,-4.08e+00,-8.00e-02, 
-1.60000e-02,-5.68e+00,-4.08e+00,-4.00e-02, 
-1.50000e-02,-5.60e+00,-4.16e+00,-8.00e-02, 
-1.40000e-02,-5.60e+00,-4.08e+00,-4.00e-02, 
-1.30000e-02,-5.68e+00,-3.60e+00,-8.00e-02, 
-1.20000e-02,-5.68e+00,-4.08e+00,-4.00e-02, 
-1.10000e-02,-5.60e+00,-4.40e+00,-8.00e-02, 
-1.00000e-02,-5.68e+00,-4.40e+00,-8.00e-02, 
-9.00000e-03,-5.60e+00,-3.92e+00,-4.00e-02, 
-8.00000e-03,-5.60e+00,-4.00e+00,-8.00e-02, 
-7.00000e-03,-5.68e+00,-4.16e+00,-4.00e-02, 
-6.00000e-03,-5.68e+00,-4.08e+00,-4.00e-02, 
-5.00000e-03,-5.60e+00,-4.24e+00,-8.00e-02, 
-4.00000e-03,-5.68e+00,-4.08e+00,-8.00e-02, 
-3.00000e-03,-5.60e+00,-4.08e+00,-4.00e-02, 
-2.00000e-03,-5.68e+00,-4.08e+00,-8.00e-02, 
-1.00000e-03,-5.60e+00,-4.24e+00,-4.00e-02, 
0.00000e+00,-5.68e+00,-4.24e+00,-4.00e-02, 
1.00000e-03,5.76e+00,-4.08e+00,-8.00e-02, 
2.00000e-03,5.68e+00,-4.24e+00,-8.00e-02, 
3.00000e-03,5.68e+00,-3.84e+00,-4.00e-02, 
4.00000e-03,5.68e+00,-3.60e+00,-8.00e-02, 
5.00000e-03,5.68e+00,-2.88e+00,-4.00e-02, 
6.00000e-03,5.68e+00,-2.72e+00,-8.00e-02, 
7.00000e-03,5.60e+00,-1.92e+00,-4.00e-02, 
8.00000e-03,5.68e+00,-1.84e+00,-4.00e-02, 
9.00000e-03,5.60e+00,-1.20e+00,-8.00e-02, 
1.00000e-02,5.68e+00,-1.12e+00,-4.00e-02, 
1.10000e-02,5.60e+00,-5.60e-01,-8.00e-02, 
1.20000e-02,5.68e+00,-4.80e-01,-8.00e-02, 
1.30000e-02,5.60e+00,1.60e-01,-4.00e-02, 
1.40000e-02,5.68e+00,2.40e-01,-4.00e-02, 
1.50000e-02,5.60e+00,8.00e-01,-8.00e-02, 
1.60000e-02,5.68e+00,8.00e-01,-4.00e-02, 
1.70000e-02,5.60e+00,1.44e+00,-8.00e-02, 
1.80000e-02,5.68e+00,1.44e+00,-8.00e-02, 
1.90000e-02,5.60e+00,1.76e+00,-4.00e-02, 
2.00000e-02,5.68e+00,1.76e+00,-4.00e-02, 
2.10000e-02,5.68e+00,2.16e+00,-8.00e-02, 
2.20000e-02,5.68e+00,2.16e+00,-4.00e-02, 
2.30000e-02,5.68e+00,2.24e+00,-8.00e-02, 
2.40000e-02,5.68e+00,2.24e+00,-4.00e-02, 
2.50000e-02,5.60e+00,2.16e+00,-8.00e-02, 
2.60000e-02,5.68e+00,2.24e+00,-4.00e-02, 
2.70000e-02,5.68e+00,2.16e+00,-8.00e-02, 
2.80000e-02,5.68e+00,2.24e+00,-4.00e-02, 
2.90000e-02,5.60e+00,2.32e+00,-8.00e-02, 
3.00000e-02,5.68e+00,2.24e+00,-8.00e-02, 
3.10000e-02,5.60e+00,2.40e+00,-4.00e-02, 
3.20000e-02,5.68e+00,2.32e+00,-4.00e-02, 
3.30000e-02,5.60e+00,2.56e+00,-8.00e-02, 
3.40000e-02,5.68e+00,2.56e+00,-8.00e-02, 
3.50000e-02,5.60e+00,2.08e+00,-4.00e-02, 
3.60000e-02,5.68e+00,2.08e+00,-4.00e-02, 
3.70000e-02,5.60e+00,2.48e+00,-8.00e-02, 
3.80000e-02,5.68e+00,2.56e+00,-8.00e-02, 
3.90000e-02,5.68e+00,2.40e+00,-4.00e-02, 
4.00000e-02,5.68e+00,2.64e+00,-8.00e-02, 
4.10000e-02,5.60e+00,2.48e+00,-4.00e-02, 
4.20000e-02,5.68e+00,2.56e+00,-8.00e-02, 
4.30000e-02,5.68e+00,2.40e+00,-4.00e-02, 
4.40000e-02,5.68e+00,2.40e+00,-4.00e-02, 
4.50000e-02,5.68e+00,2.56e+00,-8.00e-02, 
4.60000e-02,5.68e+00,2.56e+00,-4.00e-02, 
4.70000e-02,5.60e+00,2.48e+00,-8.00e-02, 
4.80000e-02,5.68e+00,2.48e+00,-4.00e-02, 
4.90000e-02,5.60e+00,2.64e+00,-8.00e-02, 
5.00000e-02,5.68e+00,2.72e+00,-4.00e-02, 
5.10000e-02,5.60e+00,2.56e+00,-8.00e-02, 
5.20000e-02,5.68e+00,2.56e+00,-8.00e-02, 
5.30000e-02,5.68e+00,2.48e+00,-4.00e-02, 
5.40000e-02,5.68e+00,2.48e+00,-8.00e-02, 
5.50000e-02,5.60e+00,2.64e+00,-4.00e-02, 
5.60000e-02,5.68e+00,2.72e+00,-8.00e-02, 
5.70000e-02,5.60e+00,2.64e+00,-4.00e-02, 
5.80000e-02,5.68e+00,2.56e+00,-4.00e-02, 
5.90000e-02,5.60e+00,2.72e+00,-8.00e-02, 
6.00000e-02,5.68e+00,2.64e+00,-8.00e-02, 
6.10000e-02,5.60e+00,2.80e+00,-4.00e-02, 
6.20000e-02,5.68e+00,2.80e+00,-8.00e-02, 
6.30000e-02,5.60e+00,2.64e+00,-4.00e-02, 
6.40000e-02,5.68e+00,2.64e+00,-8.00e-02, 
6.50000e-02,5.60e+00,2.80e+00,-4.00e-02, 
6.60000e-02,5.68e+00,2.80e+00,-8.00e-02, 
6.70000e-02,5.60e+00,2.80e+00,-4.00e-02, 
6.80000e-02,5.60e+00,2.80e+00,-8.00e-02, 
6.90000e-02,5.68e+00,2.80e+00,-4.00e-02, 
7.00000e-02,5.68e+00,2.80e+00,-4.00e-02, 
7.10000e-02,5.68e+00,2.88e+00,-8.00e-02, 
7.20000e-02,5.68e+00,2.80e+00,-8.00e-02, 
7.30000e-02,5.60e+00,2.88e+00,-4.00e-02, 
7.40000e-02,5.68e+00,2.80e+00,-4.00e-02, 
7.50000e-02,5.60e+00,2.88e+00,-8.00e-02, 
7.60000e-02,5.68e+00,2.80e+00,-8.00e-02, 
7.70000e-02,5.60e+00,2.96e+00,-4.00e-02, 
7.80000e-02,5.68e+00,2.88e+00,-4.00e-02, 
7.90000e-02,5.60e+00,2.80e+00,-8.00e-02, 
8.00000e-02,5.60e+00,2.80e+00,-4.00e-02, 
8.10000e-02,5.68e+00,2.96e+00,-8.00e-02, 
8.20000e-02,5.68e+00,2.96e+00,-4.00e-02, 
8.30000e-02,5.60e+00,3.04e+00,-8.00e-02, 
8.40000e-02,5.68e+00,2.96e+00,-4.00e-02, 
8.50000e-02,5.60e+00,2.88e+00,-8.00e-02, 
8.60000e-02,5.68e+00,2.88e+00,-4.00e-02, 
8.70000e-02,5.60e+00,3.04e+00,-8.00e-02, 
8.80000e-02,5.68e+00,2.96e+00,-8.00e-02, 
8.90000e-02,5.60e+00,3.12e+00,-4.00e-02, 
9.00000e-02,5.68e+00,3.12e+00,-8.00e-02, 
9.10000e-02,5.60e+00,3.20e+00,-4.00e-02, 
9.20000e-02,5.68e+00,3.20e+00,-4.00e-02, 
9.30000e-02,5.60e+00,2.80e+00,-8.00e-02, 
9.40000e-02,5.68e+00,2.80e+00,-4.00e-02, 
9.50000e-02,5.60e+00,3.12e+00,-8.00e-02, 
9.60000e-02,5.68e+00,3.12e+00,-4.00e-02, 
9.70000e-02,5.60e+00,3.04e+00,-8.00e-02, 
9.80000e-02,5.68e+00,3.12e+00,-8.00e-02, 
9.90000e-02,5.60e+00,3.04e+00,-4.00e-02, 
1.00000e-01,5.68e+00,3.12e+00,-8.00e-02, 
1.01000e-01,5.60e+00,3.20e+00,-4.00e-02, 
1.02000e-01,5.68e+00,3.12e+00,-8.00e-02, 
1.03000e-01,5.60e+00,3.20e+00,-4.00e-02, 
1.04000e-01,5.68e+00,3.12e+00,-4.00e-02, 
1.05000e-01,5.68e+00,3.20e+00,-8.00e-02, 
1.06000e-01,5.68e+00,3.20e+00,-8.00e-02, 
1.07000e-01,5.60e+00,3.12e+00,-4.00e-02, 
1.08000e-01,5.68e+00,3.12e+00,-8.00e-02, 
1.09000e-01,5.68e+00,3.28e+00,-4.00e-02, 
1.10000e-01,5.68e+00,3.28e+00,-4.00e-02, 
1.11000e-01,5.60e+00,3.12e+00,-8.00e-02, 
1.12000e-01,5.68e+00,3.12e+00,-4.00e-02, 
